StrandDecidingMethod,Group,Sample,SamplePath,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
StrandedData,Editing_Index_Unknown,SRR8611766,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611766/SRR8611766.Aligned.sortedByCoord.out.bam,0.01366582,0.138488733,0.022757173,0.019659335,0.007450763,0.049754177
StrandedData,Editing_Index_Unknown,SRR8611809,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611809/SRR8611809.Aligned.sortedByCoord.out.bam,0.009533728,0.134393732,0.018838709,0.01787374,0.007883565,0.046870597
StrandedData,Editing_Index_Unknown,SRR8611862,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611862/SRR8611862.Aligned.sortedByCoord.out.bam,0.008218674,0.083590742,0.011404822,0.013324298,0.010146791,0.03768922
StrandedData,Editing_Index_Unknown,SRR8611883,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611883/SRR8611883.Aligned.sortedByCoord.out.bam,0.008462981,0.096331224,0.016437254,0.019979425,0.005908969,0.044322783
StrandedData,Editing_Index_Unknown,SRR8611782,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611782/SRR8611782.Aligned.sortedByCoord.out.bam,0.009758109,0.113077098,0.018965577,0.016010425,0.005625869,0.050671803
StrandedData,Editing_Index_Unknown,SRR8611871,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611871/SRR8611871.Aligned.sortedByCoord.out.bam,0.008849297,0.092016947,0.012424071,0.01491882,0.010322962,0.040047348
StrandedData,Editing_Index_Unknown,SRR8611786,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611786/SRR8611786.Aligned.sortedByCoord.out.bam,0.006852869,0.083495105,0.012864279,0.014032779,0.0055519,0.035536922
StrandedData,Editing_Index_Unknown,SRR8611849,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611849/SRR8611849.Aligned.sortedByCoord.out.bam,0.006692014,0.074582559,0.009943443,0.013616836,0.006156236,0.036056379
StrandedData,Editing_Index_Unknown,SRR8611759,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611759/SRR8611759.Aligned.sortedByCoord.out.bam,0.009082005,0.105854183,0.018540674,0.017184059,0.005787128,0.044526095
StrandedData,Editing_Index_Unknown,SRR8611791,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611791/SRR8611791.Aligned.sortedByCoord.out.bam,0.008736082,0.109946101,0.014516473,0.013759015,0.006923248,0.041957485
StrandedData,Editing_Index_Unknown,SRR8611799,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611799/SRR8611799.Aligned.sortedByCoord.out.bam,0.007717358,0.087253419,0.011964639,0.01385343,0.00512162,0.035840329
StrandedData,Editing_Index_Unknown,SRR8611764,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611764/SRR8611764.Aligned.sortedByCoord.out.bam,0.009841761,0.086682875,0.018870126,0.01673523,0.007100479,0.035390943
StrandedData,Editing_Index_Unknown,SRR8611873,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611873/SRR8611873.Aligned.sortedByCoord.out.bam,0.007547103,0.084271585,0.013439255,0.014234375,0.004498289,0.03885715
StrandedData,Editing_Index_Unknown,SRR8611890,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611890/SRR8611890.Aligned.sortedByCoord.out.bam,0.008422518,0.103132065,0.016195892,0.01547514,0.005847704,0.041973981
StrandedData,Editing_Index_Unknown,SRR8611788,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611788/SRR8611788.Aligned.sortedByCoord.out.bam,0.005669683,0.076499325,0.008722323,0.0120837,0.00397625,0.026502359
StrandedData,Editing_Index_Unknown,SRR8611825,/private10/Projects/Noam_Hayun/myproject/PRJNA523847_MouseExercise/Raw_data/STAR/SRR8611825/SRR8611825.Aligned.sortedByCoord.out.bam,0.00696808,0.085205156,0.011496811,0.012110643,0.005511262,0.033791364
