Sample,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex,Phase,treatment,zt
SRR8611850,0.009854018,0.11046693,0.015209212,0.017460178,0.007932361,0.048506128,Rest phase (ZT3),Sedentary,4
SRR8611851,0.007476867,0.093392623,0.013041447,0.01566219,0.007309633,0.042599621,Rest phase (ZT3),Exercise,4
SRR8611852,0.00883316,0.106382503,0.014490447,0.018850441,0.007984092,0.043416398,Rest phase (ZT3),Sedentary,4
SRR8611853,0.009074217,0.100508587,0.018258784,0.019616906,0.008638529,0.044673886,Rest phase (ZT3),Exercise,8
SRR8611854,0.006010852,0.07268476,0.010630353,0.011351736,0.005591475,0.033300415,Rest phase (ZT3),Sedentary,8
SRR8611855,0.009569198,0.134649894,0.016107712,0.019330669,0.008592331,0.049837566,Rest phase (ZT3),Exercise,8
SRR8611856,0.010988286,0.112776134,0.017713763,0.019751568,0.008717415,0.043872245,Rest phase (ZT3),Sedentary,8
SRR8611857,0.008067647,0.085287448,0.011691818,0.015881987,0.00839709,0.038804935,Rest phase (ZT3),Exercise,12
SRR8611858,0.008182562,0.08426356,0.012746632,0.013573071,0.00649343,0.035841502,Rest phase (ZT3),Sedentary,12
SRR8611859,0.008875356,0.092024695,0.014947061,0.015869867,0.006943687,0.037999919,Rest phase (ZT3),Exercise,12
SRR8611860,0.009220005,0.098847751,0.013642282,0.017029878,0.007684932,0.044051171,Rest phase (ZT3),Sedentary,12
SRR8611861,0.014032305,0.12436401,0.020717455,0.021279522,0.01236623,0.052080439,Rest phase (ZT3),Exercise,16
SRR8611862,0.008218674,0.083590742,0.011404822,0.013324298,0.010146791,0.03768922,Rest phase (ZT3),Sedentary,16
SRR8611863,0.010549484,0.123239329,0.014956485,0.017636219,0.010193833,0.04519639,Rest phase (ZT3),Exercise,16
SRR8611864,0.007819288,0.091375251,0.010963657,0.010777421,0.008855366,0.03055518,Rest phase (ZT3),Sedentary,16
SRR8611865,0.007496211,0.062708971,0.010484475,0.013024458,0.009076988,0.030177148,Rest phase (ZT3),Exercise,20
SRR8611866,0.010037271,0.07305701,0.012981496,0.01360452,0.010962393,0.038501668,Rest phase (ZT3),Sedentary,20
SRR8611867,0.008635001,0.07606037,0.011245822,0.014922579,0.008837502,0.036715529,Rest phase (ZT3),Exercise,20
SRR8611868,0.011944704,0.092791202,0.013093664,0.018142732,0.010394438,0.041626252,Rest phase (ZT3),Sedentary,20
SRR8611869,0.008897378,0.076465742,0.012752416,0.014627136,0.008746637,0.038142218,Rest phase (ZT3),Exercise,0
SRR8611870,0.009382837,0.100265311,0.012480557,0.015812194,0.010017965,0.041473902,Rest phase (ZT3),Sedentary,0
SRR8611871,0.008849297,0.092016947,0.012424071,0.01491882,0.010322962,0.040047348,Rest phase (ZT3),Exercise,0
SRR8611872,0.007046981,0.069900605,0.009957401,0.012658968,0.00826494,0.028313733,Rest phase (ZT3),Sedentary,0
SRR8611873,0.007547103,0.084271585,0.013439255,0.014234375,0.004498289,0.03885715,Active phase (ZT15),Exercise,16
SRR8611874,0.007806688,0.08884162,0.015649681,0.015804948,0.005656266,0.039890136,Active phase (ZT15),Sedentary,16
SRR8611875,0.005991176,0.073080581,0.009487639,0.012342687,0.004122511,0.033232532,Active phase (ZT15),Exercise,16
SRR8611876,0.00989379,0.128951137,0.018875414,0.017918925,0.006260081,0.053430961,Active phase (ZT15),Sedentary,16
SRR8611877,0.005961657,0.06284029,0.008832456,0.012438263,0.003719694,0.029697929,Active phase (ZT15),Exercise,20
SRR8611878,0.009640709,0.096769798,0.013943498,0.014785595,0.005166892,0.046511336,Active phase (ZT15),Sedentary,20
SRR8611879,0.007538819,0.084129823,0.012250004,0.016519476,0.004786889,0.041404716,Active phase (ZT15),Exercise,20
SRR8611880,0.005415139,0.074287231,0.01197146,0.01235536,0.002994371,0.03379944,Active phase (ZT15),Sedentary,20
SRR8611881,0.007899139,0.103530075,0.014230088,0.014586054,0.005072523,0.040975049,Active phase (ZT15),Exercise,0
