Sample,Adar,Adarb1,Adarb2,Phase,treatment,zt
SRR8611866,0.045671,0.094817,0.003722,Rest phase (ZT3),Sedentary,20
SRR8611867,0.036201,0.093632,0.009063,Rest phase (ZT3),Exercise,20
SRR8611868,0.028834,0.059563,0.001491,Rest phase (ZT3),Sedentary,20
SRR8611869,0.015187,0.04916,0,Rest phase (ZT3),Exercise,0
SRR8611870,0.07518,0.142164,0.010565,Rest phase (ZT3),Sedentary,0
SRR8611871,0.085552,0.256947,0.007936,Rest phase (ZT3),Exercise,0
SRR8611872,0.19726,0.423513,0.002836,Rest phase (ZT3),Sedentary,0
SRR8611873,0.070273,0.174697,0.003152,Active phase (ZT15),Exercise,16
SRR8611874,0.024868,0.067598,0.001672,Active phase (ZT15),Sedentary,16
SRR8611875,0.040806,0.161167,0.001786,Active phase (ZT15),Exercise,16
SRR8611876,0.01665,0.037355,0.001317,Active phase (ZT15),Sedentary,16
SRR8611877,0.055741,0.200601,0.001839,Active phase (ZT15),Exercise,20
SRR8611878,0.036183,0.054302,0.002406,Active phase (ZT15),Sedentary,20
SRR8611879,0.02902,0.066688,0,Active phase (ZT15),Exercise,20
SRR8611880,0.013405,0.071988,0.002254,Active phase (ZT15),Sedentary,20
SRR8611881,0.072816,0.149836,0.003123,Active phase (ZT15),Exercise,0
SRR8611882,0.056719,0.126408,0,Active phase (ZT15),Sedentary,0
SRR8611883,0.014057,0.037996,0.00405,Active phase (ZT15),Exercise,0
SRR8611884,0.054043,0.133016,0.002506,Active phase (ZT15),Sedentary,0
SRR8611885,0.024507,0.046576,0.001569,Active phase (ZT15),Exercise,4
SRR8611886,0.015999,0.020033,0,Active phase (ZT15),Sedentary,4
SRR8611887,0.027996,0.062708,0.001569,Active phase (ZT15),Exercise,4
SRR8611888,0.169575,0.231182,0.007964,Active phase (ZT15),Sedentary,4
SRR8611889,0.026366,0.059311,0.003126,Active phase (ZT15),Exercise,8
SRR8611890,0.029918,0.025653,0,Active phase (ZT15),Sedentary,8
SRR8611891,0.031832,0.05324,0,Active phase (ZT15),Exercise,8
SRR8611892,0.177057,0.337093,0.077598,Active phase (ZT15),Sedentary,8
SRR8611893,0.025955,0.073664,0,Active phase (ZT15),Exercise,12
SRR8611894,0.023933,0.06761,0.002108,Active phase (ZT15),Sedentary,12
SRR8611895,0.044128,0.094492,0.001488,Active phase (ZT15),Exercise,12
SRR8611896,0.016924,0.055938,0.001751,Active phase (ZT15),Sedentary,12
